Generation	Fitness	ShootingFitness	AimingFitness	Shots	Misses	WrongReloads
495	514.492554	457.000004	57.492550	1,043	129	0
496	520.215815	460.000005	60.215810	1,041	121	0
497	511.173711	448.499997	62.673714	1,014	117	1
498	497.208863	438.499998	58.708866	1,153	276	0
499	489.180254	427.500001	61.680252	993	138	10
500	520.546475	457.499999	63.046476	1,167	252	1
501	494.342960	430.499996	63.842963	964	103	6
502	485.389357	426.999996	58.389361	998	144	0
503	501.023322	439.000001	62.023321	967	89	9
504	502.932962	439.500003	63.432959	987	108	8
505	481.525781	423.000007	58.525774	964	118	1
