Generation	Fitness	Shooting fitness	Aiming fitness	Shots	Misses	Wrong reloads
112	186.290267	142.000002	44.290265	772	488	8
113	156.290018	115.000001	41.290017	679	449	4
114	172.480181	129.000002	43.480180	731	473	5
115	172.923761	127.500001	45.423760	739	484	1
116	192.842215	145.000000	47.842215	819	529	7
117	179.365026	138.000000	41.365026	811	535	9
118	199.503242	153.999999	45.503242	765	457	9
119	172.690923	128.000000	44.690922	751	495	6
120	187.735211	138.500000	49.235211	767	490	7
121	186.358530	137.999998	48.358532	764	488	10
122	170.853220	125.999998	44.853222	743	491	8
